date,portfolio_value,genai_norm,spx_close,btc_close,spx_norm,btc_norm
2025-10-09,10000,100.0,6735.0,121706,100.70275119617224,98.66480750366834
2025-10-16,10389,103.88999999999999,6646.0,107198,99.372009569378,86.9034397217741
2025-10-23,10548,105.47999999999999,6738.0,109070,100.74760765550239,88.42103556459917
2025-10-30,10481,104.81,6822.0,108306,102.0035885167464,87.80167486806157
2025-11-06,10396,103.96000000000001,6720.32,101301,100.48325358851675,82.12285068056715
2025-11-13,10388,103.88,6737.49,99697,100.73998205741626,80.82251749045423
